pattern,tte_hours,gaming_power_w,reading_power_w,avg_power_w,delta_vs_steady_pct
sequential_half_half,2.986388888888889,3.484437,0.95624,2.2203385,0.0
switching_x12,3.1341666666666668,3.484437,0.95624,2.2203385,4.948376895172535
