time_h,soc,voltage_exp,voltage_nbm,voltage_main,error_nbm,error_main,rel_error_nbm_pct,rel_error_main_pct
0.0,1.0,4.1837,4.088496538347252,4.186935,-0.09520346165274773,0.003235000000000099,-2.275580506555148,0.07732389989722252
0.00028333333333333335,0.9999431248522642,4.1829,4.088496538347252,4.186812603103003,-0.09440346165274782,0.0039126031030027875,-2.256890235309183,0.09353805022837713
0.0005666666666666667,0.9998862212456103,4.1823,4.088496538347252,4.186716419923337,-0.09380346165274744,0.004416419923336967,-2.242867839532015,0.10559787493333733
0.0008666666666666666,0.9998259703679768,4.1818,4.088496538347252,4.186618296420301,-0.09330346165274772,0.00481829642030096,-2.2311794359545583,0.11522063274907841
0.0011500000000000002,0.999769095220241,4.1815,4.088496538347252,4.186529182153031,-0.09300346165274753,0.005029182153030831,-2.2241650520805343,0.12027220263137227
0.0014333333333333331,0.9997121773841282,4.1812,4.088496538347252,4.186431256725811,-0.09270346165274734,0.005231256725811484,-2.217149661646115,0.1251137646085211
0.0017166666666666665,0.9996552737774743,4.1808,4.088496538347252,4.186340366755969,-0.09230346165274739,0.0055403667559694725,-2.2077942415984353,0.13251929668889859
0.002,0.9995983559413615,4.1805,4.088496538347252,4.1862459628874635,-0.09200346165274809,0.005745962887463207,-2.2007765016803753,0.1374467859696976
0.002266666666666667,0.9995447862132553,4.1801,4.088496538347252,4.186158769382763,-0.09160346165274813,0.006058769382762286,-2.191417948200955,0.1449431684113367
0.0025666666666666667,0.9994845654685939,4.1798,4.088496538347252,4.186066014043419,-0.09130346165274794,0.006266014043418977,-2.184397857618736,0.14991181500117176
0.00285,0.9994276476324809,4.1795,4.088496538347252,4.185968139482016,-0.09100346165274775,0.006468139482016078,-2.1773767592474638,0.15475869080071963
0.0031333333333333335,0.9993707440258272,4.1794,4.088496538347252,4.185877302352178,-0.09090346165274799,0.006477302352177361,-2.175036169133081,0.15498163258308276
0.0034166666666666664,0.9993138404191733,4.1789,4.088496538347252,4.185784724684429,-0.09040346165274737,0.006884724684429244,-2.1633315382695777,0.16474968734425913
