scenario,background_extra,tte_hours
Standby,0.0,19.666944444444443
Standby,0.1,15.845555555555556
Standby,0.2,13.261111111111111
Navigation,0.0,9.022777777777778
Navigation,0.1,8.11138888888889
Navigation,0.2,7.365277777777778
Gaming,0.0,3.792777777777778
Gaming,0.1,3.792777777777778
Gaming,0.2,3.792777777777778
Video,0.0,6.368055555555555
Video,0.1,5.895
Video,0.2,5.486111111111111
Reading,0.0,9.644166666666667
Reading,0.1,8.611944444444445
Reading,0.2,7.776944444444444
