parameter,tte_neg_hours,tte_pos_hours,delta_pct_neg,delta_pct_pos,sensitivity_neg,sensitivity_pos,baseline_tte_hours
E0,6.051944444444445,6.683611111111111,-4.964013086150487,4.955288985823336,-0.9928026172300974,0.9910577971646672,6.368055555555555
K,6.372222222222222,6.363888888888889,0.06543075245364349,-0.0654307524536546,0.013086150490728699,-0.013086150490730919,6.368055555555555
R0,6.370555555555556,6.365555555555556,0.039258451472190536,-0.039258451472179434,0.007851690294438107,-0.007851690294435887,6.368055555555555
A,6.3525,6.383611111111111,-0.2442748091603053,0.2442748091602942,-0.04885496183206106,0.04885496183205884,6.368055555555555
B,6.383611111111111,6.353888888888889,0.2442748091602942,-0.22246455834241674,0.04885496183205884,-0.04449291166848335,6.368055555555555
Q0,6.064444444444445,6.671388888888889,-4.767720828789523,4.76335877862597,-0.9535441657579046,0.952671755725194,6.368055555555555
P_total,6.71,6.058611111111111,5.369683751363152,-4.859323882224642,1.0739367502726305,-0.9718647764449283,6.368055555555555
