Battery,Cycle,RMSE_Shepherd_mV,RMSE_Poly_mV,RMSE_MLP_mV,MAE_Shepherd_mV,MAE_Poly_mV,MAE_MLP_mV
RW3,10,63.39682618830306,21.983615501716397,19.38171942417771,50.439293450942415,17.291256686611984,15.404947890477244
RW3,11,91.07651697106357,26.63434551339732,24.012651518255076,74.43686176728919,21.821594905064206,19.476468440896543
RW3,12,78.77459489302701,21.578818582809532,21.716531634505557,58.49811690484853,12.959944236351724,13.381362076058316
RW3,13,69.09201420626447,23.701359446432036,23.17934198034393,56.375195742305245,17.482304087522134,16.502035937292998
RW3,14,71.79565294477264,18.540320881113963,20.17282992101462,54.29705301759393,14.58243367538316,15.114489699744688
RW3,15,69.30029767746638,15.719967929300877,15.876665709157432,49.94719599581595,11.036567382063863,10.022030477417319
RW3,16,76.44601480313,25.17750921674259,25.206933052842533,55.8130240818388,15.434186573336243,15.036660739157027
RW3,17,59.93691981034413,18.127223922160223,17.109878996341155,46.16177976108839,13.126798024108645,12.484887526717715
RW3,18,85.95085037819572,11.340704533811264,12.032255520107189,73.54469211253607,7.7819408663652,9.557118965418029
RW3,19,84.28517754000868,23.43795614517432,24.26718239668715,59.86820235220772,13.817646201808923,16.164965520260075
RW3,20,91.63721646190085,18.69246067895923,19.477334997134538,77.78466081633209,13.002705130858404,12.137402406071896
RW3,21,80.7313058045532,19.08654341879336,19.927020891820344,66.71671047620939,14.068360218457073,15.035669298395002
RW3,22,99.95801088602714,20.935790145003057,20.603415108293845,73.91907710887203,15.671238351705794,16.005730609797087
RW3,23,99.33996924119378,27.026270453024395,28.59893156975487,76.08150800303454,18.957953579419513,20.235747519054293
RW3,24,66.93725720645394,27.9490523579382,23.505956372875666,53.47740623281916,16.046707272250227,15.332494899195563
RW3,25,102.25767991784961,21.496945461932135,22.372004977577983,93.53554797838014,14.000287134805896,13.145573215681479
RW3,26,95.22825989917104,21.053445560869257,23.057266784982446,77.94180687035409,14.49401683284502,16.72162765494495
RW3,27,78.5095128948502,33.14161735563265,25.88595186766863,62.762848330976745,21.850106425680828,17.843784294592563
RW3,28,90.23017738539167,19.731998814952345,17.533126269008335,73.65274573186923,14.59269901564361,11.08655897787051
RW3,29,68.0854661182991,19.33371367178131,17.926121544714686,51.52982529434882,15.477940157769087,14.289469786825368
RW3,30,107.50493596771558,23.812817791628667,24.372426087835866,84.81267704140944,16.40801243270882,16.24977347014602
RW3,31,94.83117058256065,23.069063459723417,21.922689450807773,81.49095334895785,16.877299001273133,14.63650708659708
RW3,32,80.00113592661393,27.38553076324915,23.97887239547401,59.97686543305452,15.483208088450537,15.008011439482695
RW3,33,81.3332090861982,21.197172288518217,22.16221005949146,58.245122306566046,15.298557179283726,15.33707642180936
RW3,34,98.6952633183447,23.827769240641086,23.008262368272234,75.28782095288405,17.48636302001715,16.454982829320134
RW3,35,91.71169529244116,29.909047932880682,29.624066676093065,77.6157911881044,21.96835582079467,22.01995466778098
RW3,36,94.45923662369542,29.187431016518936,28.430466868997208,67.93596808487804,20.786810449817466,20.275736054795235
RW3,37,98.929873885129,23.054717632887268,23.333818340731774,76.7421119468081,16.73854749010148,16.7252807973864
RW3,38,98.91651782213846,21.92552255239648,21.52228108810125,77.17997801416645,16.455288598841246,16.101524581471725
RW3,39,104.27574240325603,27.457876451633965,29.286161441763554,86.38678980963665,17.039728495569463,17.656565514632
RW3,40,84.47374044636503,25.086115051626166,25.16486780095008,67.82195962177731,16.419292876243347,16.299674769829718
RW3,41,104.33739400080444,25.25885104418406,25.86957195945891,80.52875274166917,16.05583889225224,16.133689624832588
RW3,42,106.8458968597931,26.881060401359314,29.474679711221246,82.7205257940543,17.130034696838134,18.76248737845023
RW3,43,111.81244722417973,20.935133024619837,20.069591372267883,90.61499948201099,14.820784059548046,12.250849977590976
RW3,44,122.79643580297986,32.60266083595921,34.971261305586864,108.15741085931485,21.60012434348518,21.577827043229927
RW3,45,129.02427623733158,27.380866753160614,28.83097029996636,113.03437692068867,19.25629381731802,19.233848479392204
RW3,46,101.15712300185979,25.3593100898562,24.603695863950215,91.72280646005935,19.71787429642574,18.735031534628966
RW3,47,91.65027494198466,24.98036802448227,25.944654300433463,76.99934296180594,17.604698412248258,18.779780736768295
RW3,48,76.09767713335653,22.414897337458406,21.560809615034444,61.52987768314384,17.697208248205033,17.195206929968876
RW3,49,93.58229019517748,23.002113760475506,23.53087704028778,83.87948683370709,20.502780551934453,20.68082723571356
RW4,10,42.86393030963775,22.625602278476666,23.37249722712517,31.961720732877342,15.872770414889887,16.79584268287117
RW4,11,62.6897088978329,32.69242761435398,27.8096816592458,51.51974780446828,21.760140049451664,20.264204518082714
RW4,12,63.11889969226451,21.70834347156322,16.282749736821366,56.07332390570654,15.92068858464745,11.870482447152696
RW4,13,42.40075544485436,24.19081733475984,23.870583816048175,31.05280685227104,16.234186833069405,16.733089748265286
RW4,14,55.909433950974915,23.014758903392384,19.68101136113105,46.632581910089016,15.790141065730328,11.278607396648924
RW4,15,30.950912102759155,28.51995608864271,23.808031249728828,22.634753906574364,21.419142519611082,17.078050778429624
RW4,16,25.137001202948078,19.498231727157943,16.70742466141634,16.733960503410373,14.97052308965153,13.476419663885212
RW4,17,50.50899571954061,27.983550770967298,24.86876079881882,36.04033504812936,20.42298707362643,15.632171134053543
RW4,18,42.1877819754918,29.609371992600813,24.14097841667982,33.280520729809254,24.49570012324744,19.257975077166314
RW4,19,49.79871439201175,23.271872198967447,20.952765989775052,36.87431586778339,17.191259988007538,14.077065045693145
RW4,20,46.192396331817086,35.614106597786574,29.522115730870134,37.266708363871615,24.242648896089865,21.283737960143743
RW4,21,45.700100195955606,35.008590521032716,31.344122763116523,32.587696839218836,26.364586288521902,23.23404954644468
RW4,22,47.63715387888559,45.96129654213513,32.77732132449806,39.66546451148198,29.80580443882978,21.392620205271236
RW4,23,59.63578880848345,29.777037607408705,26.090961188293228,50.45127458301299,18.880595531925948,14.273162675635339
RW4,24,32.913481640410474,29.199889617623402,26.967637648211912,24.07158442474497,22.80682061017082,20.211819949802116
RW4,25,22.763327108890145,29.04962015937211,29.62712855942048,14.668543731476408,19.63179693657716,18.80397462773323
RW4,26,29.479611585314036,22.053542031372686,22.87429978678272,21.77474855824651,17.911695233027768,17.660704068388934
RW4,27,33.69764142086938,37.38160026803846,31.4910659594271,24.10082346354455,29.01163240868309,24.197220452444004
RW4,28,49.69050465109012,20.250118377566384,15.154538455854505,42.104552790894466,14.495052709218218,12.135257658071502
RW4,29,41.27567048048997,29.1215390412226,22.47255734771846,28.18799334393421,23.754462808332054,18.75467242454515
RW4,30,50.35474312546053,29.05840201616645,25.763734342037385,42.06309091929154,17.84765624472198,16.098082292977402
RW4,31,44.32095907987333,28.143410349737888,25.43390489632536,30.757864193411187,20.648324387598954,18.4391316832216
RW4,32,26.041865660880095,30.496517692865964,25.62284694630682,15.951790709405017,24.931183925755054,21.17728558421672
RW4,33,43.217051772567935,33.511282634701494,35.255556818770245,36.96892577773851,20.110823784199166,21.514819711543996
RW4,34,40.052584876935555,27.814022736338412,28.72054670124645,30.234597937761066,20.306198542628813,20.072364198106524
RW4,35,26.026700777865518,31.824659487847253,30.918175066370132,18.684808518049362,24.954003461869814,25.210917521596976
RW4,36,37.32216957411512,28.54051278032028,27.838047619413686,24.315259579303135,22.89073429076656,21.840167375541995
