soc0,tte_bg0,tte_bg10,tte_bg20
1.0,6.416666666666667,5.943611111111111,5.535
0.9,5.645277777777777,5.228611111111111,4.868611111111111
0.8,4.922777777777778,4.558888888888889,4.2444444444444445
0.7000000000000001,4.23,3.9169444444444443,3.6461111111111113
0.6000000000000001,3.5555555555555554,3.2916666666666665,3.0636111111111113
0.5000000000000001,2.8925,2.6772222222222224,2.491388888888889
0.40000000000000013,2.2369444444444446,2.07,1.9255555555555555
0.30000000000000016,1.5872222222222223,1.4680555555555554,1.365
0.20000000000000018,0.9430555555555555,0.8713888888888889,0.8097222222222222
0.1000000000000002,0.3080555555555556,0.2841666666666667,0.2633333333333333
