pattern,soc_split,gaming_power_w,reading_power_w,tte_hours,delta_vs_gaming_first_pct
gaming_only,100%-5%,4.2009870000000005,1.52327,3.8880555555555554,-46.61301395987489
reading_only,100%-5%,4.2009870000000005,1.52327,10.9525,50.38904569379816
gaming_then_reading,100%-52.5%-5%,4.2009870000000005,1.52327,7.282777777777778,0.0
reading_then_gaming,100%-52.5%-5%,4.2009870000000005,1.52327,7.557777777777778,3.7760317339232685
