cycle_count,calendar_hours,q0_ah,r0_ohm,tte_hours,delta_vs_fresh_pct
0,0.0,5.0,0.15,6.2027777777777775,0.0
200,400.0,0.5963293955042676,0.2748520544526178,0.8230555555555555,-86.73085535154502
500,1000.0,0.5,0.30519929814323526,0.6911111111111111,-88.85803851321093
1000,2000.0,0.5,0.33036289183259304,0.6877777777777778,-88.91177787729512
