Model,n_params,RMSE_mean_mV,RMSE_std_mV,n_cycles
Shepherd,5,62.19775864677467,28.1674597237533,160
Poly-3 Ridge,10,28.01774366062789,6.107536532870718,160
MLP (2-5-1),21,26.480498513429893,6.169477928528793,160
