model,E0,K,A,B,R0,p,rmse_pooled_mV,rmse_percell_mean_mV,rmse_percell_std_mV
classic,3.50178,0.01786,0.81135,1.00267,0.30000,1.0,17.659,17.659,0.218
generalised,3.49285,0.01582,0.81866,0.98699,0.30000,1.02588,17.645,17.645,0.175
